Algorithm,Cores,N(b),Integration_step,AVG_time
gauss.py,3,1.0,0.001,0.3684409834400867
gauss.py,3,1.7222222222222223,0.001,0.40859825675994216
gauss.py,3,2.4444444444444446,0.001,0.4151869132801221
gauss.py,3,3.1666666666666665,0.001,0.4187677873201028
gauss.py,3,3.888888888888889,0.001,0.576552073280036
gauss.py,3,4.611111111111111,0.001,0.43305042736006727
gauss.py,3,5.333333333333333,0.001,0.6023985649201495
gauss.py,3,6.055555555555555,0.001,0.4480720222398668
gauss.py,3,6.777777777777778,0.001,0.529537578279851
gauss.py,3,7.5,0.001,0.41727573515971017
rectangular.py,3,1.0,0.001,0.5802753739998298
rectangular.py,3,1.7222222222222223,0.001,0.6332879956401303
rectangular.py,3,2.4444444444444446,0.001,0.41284012308002277
rectangular.py,3,3.1666666666666665,0.001,0.5361530406399834
rectangular.py,3,3.888888888888889,0.001,0.44238249367990645
rectangular.py,3,4.611111111111111,0.001,0.5122576959600701
rectangular.py,3,5.333333333333333,0.001,0.3539612716400734
rectangular.py,3,6.055555555555555,0.001,0.5077080916798877
rectangular.py,3,6.777777777777778,0.001,0.5018672148403129
rectangular.py,3,7.5,0.001,0.6037957099598862
simpson.py,3,1.0,0.001,0.5234225018799044
simpson.py,3,1.7222222222222223,0.001,0.5183252650398935
simpson.py,3,2.4444444444444446,0.001,0.36362108787994657
simpson.py,3,3.1666666666666665,0.001,0.35419603651993387
simpson.py,3,3.888888888888889,0.001,0.35678274552017686
simpson.py,3,4.611111111111111,0.001,0.3604418829597853
simpson.py,3,5.333333333333333,0.001,0.3567764246799197
simpson.py,3,6.055555555555555,0.001,0.3599239437599317
simpson.py,3,6.777777777777778,0.001,0.3586813870401966
simpson.py,3,7.5,0.001,0.3604773368399765
trapesoidal.py,3,1.0,0.001,0.3512743607201992
trapesoidal.py,3,1.7222222222222223,0.001,0.34937803539993184
trapesoidal.py,3,2.4444444444444446,0.001,0.3511771706800937
trapesoidal.py,3,3.1666666666666665,0.001,0.35292785507983354
trapesoidal.py,3,3.888888888888889,0.001,0.3736599815999216
trapesoidal.py,3,4.611111111111111,0.001,0.3631857681598922
trapesoidal.py,3,5.333333333333333,0.001,0.35812266619999716
trapesoidal.py,3,6.055555555555555,0.001,0.35451695816002027
trapesoidal.py,3,6.777777777777778,0.001,0.3611564638801792
trapesoidal.py,3,7.5,0.001,0.35415328940005564
